id,movie_title,twitter_neg,twitter_pos,twitter_neu,gross_total,max_theaters,opening_weekend_gross,release_date,score,running_time_min,production_budget,genre_action,genre_adventure,genre_animation,genre_comedy,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_kids,genre_musical,genre_mystery,genre_romance,genre_sci-fi,genre_tv_series,genre_thriller,genre_war,genre_western
821,Unfriended: Dark Web,5.0,5.0,1446.0,8866745,1547,3653035,2018/07/20,5.6,88,1000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
822,Early Man,1.0,9.0,1448.0,8267544,2494,3190525,2018/02/16,5.4,89,50000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,Unsane,8.0,32.0,1447.0,7732899,2023,3762145,2018/03/23,5.7,93,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
824,Beautiful Boy,5.0,278.0,1164.0,7649973,776,218888,2018/11/9,6.3,100,25000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
825,Dog Days,1.0,11.0,1460.0,6809080,2442,2554766,2018/08/8,6.6,120,10000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
826,Boy Erased,0.0,4.0,942.0,6788692,672,207057,2018/11/21,6.3,115,11000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
827,Hotel Artemis,3.0,16.0,1449.0,6708147,2407,3232790,2018/06/8,5.1,97,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
828,Fahrenheit 11/9,1.0,3.0,1455.0,6352306,1719,3008563,2018/09/21,6.6,130,5000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
829,Unbroken: Path to Redemption,0.0,2.0,648.0,6216897,1620,2238723,2018/09/14,4.3,98,6000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
830,The Hurricane Heist,1.0,3.0,925.0,6115825,2402,3024399,2018/03/9,4.3,100,40000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
831,Every Day,4.0,18.0,1460.0,6102076,1669,3016149,2018/02/23,5.6,95,4900000,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
832,Kin,12.0,26.0,1422.0,5718096,2141,3035618,2018/08/31,4.7,98,30000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
833,Action Point,2.0,4.0,1471.0,5059608,2032,2390164,2018/06/1,4.2,85,19000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,Sgt. Stubby: An American Hero,0.0,2.0,344.0,4015935,1633,1164403,2018/04/13,5.5,85,25000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
835,Indivisible,1.0,14.0,1456.0,3511417,830,1503101,2018/10/26,6.3,100,2700000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
